timestamp,date,lqi,nbFrames,pressure,humidity,battery,lux,dB,run_time,mslPressure,temperature_int,temperature,NO2,O3,PM2_5,PM10,PM1_0,CO2
1698710400,2023-10-31T00:00:00+0000,3,3,,,,,,,,9.7666666666667,13.783333333333,31.296607800359,17.539186790123,41,41,34,560
1698714000,2023-10-31T01:00:00+0000,3,3,993.6,171.1,3805,0,53,835200,993.6,,,,,32.5,32.5,25.5,565
1698717600,2023-10-31T02:00:00+0000,3,3,,,,,,,,8.82,13.14,29.763449581525,12.807774409108,14,14,14,510
1698721200,2023-10-31T03:00:00+0000,2.6666666666667,3,993.95,174.25,3805,0,50,842400,993.95,8.8,13.2,28.199950437242,14.360777828447,9,9,9,505
1698724800,2023-10-31T04:00:00+0000,3,3,,,,,,,,9.2,13.42,29.561821349226,22.839050682199,0,0,0,460
1698728400,2023-10-31T05:00:00+0000,3,3,994.4,172.4,3805,0,52,,994.4,9.4,13.8,27.986723214747,26.632698838699,0,0,0,460
1698732000,2023-10-31T06:00:00+0000,3,3,994.6,172.4,3805,0,51,849600,994.6,9.3,13.64,32.237203144319,12.915999620589,,,,
1698735600,2023-10-31T07:00:00+0000,3,3,995.4,172.6,3805,0,59,,995.4,9.3,13.8,37.145794128974,7.7485639496725,1.6666666666667,1.6666666666667,1.6666666666667,470
1698739200,2023-10-31T08:00:00+0000,3,3,995.7,168.7,3805,0,60,856800,995.7,9.55,13.9,39.319031582426,6.3100800328285,,,,
1698742800,2023-10-31T09:00:00+0000,3,3,996.9,155.8,3805,0,60,,996.9,9.65,13.9,38.157661813119,9.0728730906821,0.66666666666667,0.66666666666667,0.66666666666667,490
1698746400,2023-10-31T10:00:00+0000,3,3,997.1,152.6,3805,5,61,0,997.1,10.125,14.325,37.573920973931,10.540536873349,,,,
1698750000,2023-10-31T11:00:00+0000,3,3,997.1,143.6,3805,0,62,,997.1,11,15.175,41.715228875314,11.112865496952,0,0,0,536.66666666667
1698753600,2023-10-31T12:00:00+0000,3,3,995.95,111.95,3805,12.5,58.5,7200,995.95,15.05,18.275,75.676109147168,10.156556574687,0,0,0,613.33333333333
1698757200,2023-10-31T13:00:00+0000,3,3,994.3,98.5,3805,10,54,10800,994.3,13.733333333333,15.833333333333,31.881733575529,37.821507730633,0,1.6666666666667,0,476.66666666667
1698760800,2023-10-31T14:00:00+0000,3,3,,,,,,,,13.433333333333,16.233333333333,31.428839795382,36.427056188043,1,3,1,453.33333333333
1698764400,2023-10-31T15:00:00+0000,3,3,993.6,119.5,3835,10,51,,993.6,13.133333333333,15.866666666667,15.749797620056,49.503591478879,1.3333333333333,3,1.3333333333333,460
1698768000,2023-10-31T16:00:00+0000,3,3,993.5,128.2,3835,5,51,21600,993.5,11.2,14.966666666667,17.021409411323,32.637954807489,,,,
1698771600,2023-10-31T17:00:00+0000,3,3,993,133.1,3835,0,51,,993,10.833333333333,14.4,16.606013028152,29.985220780172,0,0,0,440
1698775200,2023-10-31T18:00:00+0000,3,3,992.8,141.6,3835,0,52,28800,992.8,10.55,14.35,18.426899711042,25.696934029192,,,,
1698778800,2023-10-31T19:00:00+0000,3,3,991.7,145.5,3820,0,53,,991.7,10.6,14.425,19.480876927282,25.08567913196,15,15,11.5,440
1698782400,2023-10-31T20:00:00+0000,3,3,991.2,146.5,3820,0,57,36000,991.2,11.2,14.65,17.72746064739,31.382947027317,13,13,12,440
1698786000,2023-10-31T21:00:00+0000,3,3,,,,,,,,10.9,14.6,20.094934576531,26.502809858611,23,23.5,16.5,440
1698789600,2023-10-31T22:00:00+0000,3,3,989.25,173.1,3820,0,52.5,43200,989.25,10.9,14.7,24.342753697868,22.303672536067,9,9,9,440
1698793200,2023-10-31T23:00:00+0000,3,3,,,,,,,,10.675,14.525,26.47809992397,18.355664217533,0,0,0,430
1698796800,2023-11-01T00:00:00+0000,3,3,986.3,178.25,3820,0,51,50400,986.3,11.5,15.6,47.788459522598,5.0564058052647,0,0,0,430
1698800400,2023-11-01T01:00:00+0000,3,3,,,,,,,,12,16.04,52.107306337655,6.5651556801821,0,0,0,430
1698804000,2023-11-01T02:00:00+0000,3,3,,,,,,,,12.425,16.475,52.638393492145,8.9545975418241,0,0,0,430
1698807600,2023-11-01T03:00:00+0000,3,3,981.25,170.35,3820,0,40.5,61200,981.25,12,15.9,51.075857575401,3.0437876305078,0,0,0,430
1698811200,2023-11-01T04:00:00+0000,3,3,,,,,,,,12.2,16.16,54.057711671236,2.6992975170983,0,0,0,410
1698814800,2023-11-01T05:00:00+0000,3,3,979.05,159.75,3820,0,40.5,68400,979.05,,,,,0,0,0,410
1698818400,2023-11-01T06:00:00+0000,3,3,,,,,,,,11.083333333333,14.916666666667,23.223617273384,30.251045678857,0,0,0,420
1698822000,2023-11-01T07:00:00+0000,3,3,977.75,135.2,3820,0,47.5,75600,977.75,,,,,0,0,0,425
1698825600,2023-11-01T08:00:00+0000,3,3,,,,,,,,10.416666666667,14.266666666667,20.939701980136,27.965042211613,0,0,0,430
1698829200,2023-11-01T09:00:00+0000,3,3,975.65,139.85,3820,5,53.5,82800,975.65,,,,,0,0,0,420
1698832800,2023-11-01T10:00:00+0000,3,3,,,,,,,,10.616666666667,14.45,19.428456650998,30.844007703536,0,0,0,430
1698836400,2023-11-01T11:00:00+0000,3,3,976.45,124.5,3842.5,47.5,54.5,90000,976.45,,,,,0,0,0,430
1698840000,2023-11-01T12:00:00+0000,3,3,,,,,,,,11.5,14.4,19.546708731939,36.792522989805,0,0,0,440
1698843600,2023-11-01T13:00:00+0000,3,3,977.5,99.9,3865,125,51.5,97200,977.5,12.35,15.075,21.327907883148,40.885804222923,0,1,0,443.33333333333
1698847200,2023-11-01T14:00:00+0000,3,3,977.35,80.5,3880,27.5,53,100800,977.35,14.3,16.333333333333,20.34510480042,55.232570110419,0,2,0,450
1698850800,2023-11-01T15:00:00+0000,3,3,,,,,,,,11.04,14.52,18.586495932063,34.611556314561,0,3,0,430
1698854400,2023-11-01T16:00:00+0000,3,3,977,80.8,3865,5,52,,977,10.6,14,17.498559390037,32.665904657338,0,3.5,0,430
1698858000,2023-11-01T17:00:00+0000,3,3,976.5,85.9,3865,0,52,108000,976.5,8.7,12.425,15.81732487736,21.297460860826,,,,
1698861600,2023-11-01T18:00:00+0000,3,3,976.1,115,3865,0,52,,976.1,8.3,12.1,15.542783592042,18.820117926459,2.3333333333333,6.3333333333333,1.6666666666667,430
1698865200,2023-11-01T19:00:00+0000,3,3,975.9,123.1,3865,0,51,115200,975.9,6.95,10.575,15.270285976039,9.8083549978058,,,,
1698868800,2023-11-01T20:00:00+0000,3,3,973.8,115.5,3865,0,50,,973.8,6.75,10.25,15.203915080228,8.5014349799837,5.6666666666667,5.6666666666667,5.6666666666667,470
1698872400,2023-11-01T21:00:00+0000,3,3,973.3,123.3,3865,0,48,122400,973.3,6.75,10.475,15.657208543684,8.0480859940946,,,,
1698876000,2023-11-01T22:00:00+0000,3,3,971.2,134.9,3850,0,47,,971.2,6.5,10.05,15.163956224946,6.8104554053278,12.666666666667,12.666666666667,10.666666666667,470
1698879600,2023-11-01T23:00:00+0000,3,3,970.4,145.8,3850,0,47,129600,970.4,5.5,9.6666666666667,15.757285327712,0.029732463632275,,,,
1698883200,2023-11-02T00:00:00+0000,3,3,968.7,147.4,3850,0,41,,968.7,5.9333333333333,10.1,15.720546410542,2.3635960894091,16.666666666667,16.666666666667,14.666666666667,510
1698886800,2023-11-02T01:00:00+0000,2.5,3,968.3,145.3,3850,0,41,136800,968.3,6.3666666666667,10.566666666667,14.846958022377,6.2078731944803,,,,
1698890400,2023-11-02T02:00:00+0000,3,3,967.1,140.8,3850,0,38,,967.1,6.7,10.833333333333,14.987020885672,8.358849417923,0,0,0,443.33333333333
1698894000,2023-11-02T03:00:00+0000,3,3,967,149.3,3850,0,37,144000,967,6.9333333333333,10.966666666667,15.502249848481,9.4367985534252,,,,
1698897600,2023-11-02T04:00:00+0000,3,3,966.8,151,3850,0,41,,966.8,6.6666666666667,10.5,15.18439657683,7.914417564525,0,0,0,445
1698901200,2023-11-02T05:00:00+0000,3,3,966.8,148.4,3850,0,40,151200,966.8,5.95,9.9,16.026335809277,2.1595884852585,0,0,0,440
1698904800,2023-11-02T06:00:00+0000,3,3,967.3,126.6,3850,0,47,,967.3,6.1,10.075,24.414148799218,13.166650292208,0,0,0,440
1698908400,2023-11-02T07:00:00+0000,3,3,967.5,130.5,3850,0,47,158400,967.5,5.6,9.5,25.017145130067,10.441621722134,0,0,0,440
1698912000,2023-11-02T08:00:00+0000,3,3,,,,,,,,5.4,9.175,25.258343662407,9.4037508610401,0,0,0,450
1698915600,2023-11-02T09:00:00+0000,3,3,968.75,135.3,3850,5,52,165600,968.75,5.1,9.15,25.6222412028,7.655364932208,0,0,0,450
1698919200,2023-11-02T10:00:00+0000,3,3,,,,,,,,5.3,9.25,25.348496671259,8.8037238770982,0,0,0,450
1698922800,2023-11-02T11:00:00+0000,3,3,969.95,121,3880,85,50.5,172800,969.95,10.6,13.2,18.955685693314,38.376504466871,0,0,0,450
1698926400,2023-11-02T12:00:00+0000,3,3,,,,,,,,10.1,13.1,19.471584730815,35.889082043155,0,0,0,450
1698930000,2023-11-02T13:00:00+0000,3,3,970.8,119.15,3910,5,57,180000,970.8,8.1,12,21.93665152904,24.301598978919,2,3,2,440
1698933600,2023-11-02T14:00:00+0000,3,3,,,,,,,,8.4,12.16,21.574433782153,25.962300055381,0,0,0,430
1698937200,2023-11-02T15:00:00+0000,3,3,971.1,133.25,3895,10,51,187200,971.1,9.4,12.6,20.199621872982,32.132146351342,0,0,0,430
1698940800,2023-11-02T16:00:00+0000,3,3,,,,,,,,9.36,12.8,20.273226461408,31.812664706684,0,0,0,420
1698944400,2023-11-02T17:00:00+0000,3,3,971.75,136.65,3895,0,54.5,194400,971.75,,,,,0,0,0,430
1698948000,2023-11-02T18:00:00+0000,3,3,,,,,,,,8.1,11.8,21.898716192336,24.800467677967,0,0,0,430
1698951600,2023-11-02T19:00:00+0000,3,3,972.65,151,3895,0,52,201600,972.65,,,,,0,0,0,435
1698955200,2023-11-02T20:00:00+0000,3,3,,,,,,,,7.5833333333333,11.5,22.617910587771,21.777506356238,0,0,0,440
1698958800,2023-11-02T21:00:00+0000,3,3,973.15,156.15,3895,0,48,208800,973.15,,,,,0,0,0,450
1698962400,2023-11-02T22:00:00+0000,3,3,,,,,,,,7.88,11.86,22.256479213922,23.53357566606,0,0,0,440
1698966000,2023-11-02T23:00:00+0000,3,3,973.2,167.95,3895,0,46,216000,973.2,7.8,11.8,22.384538744793,22.971815437458,0,0,0,440
1698969600,2023-11-03T00:00:00+0000,3,3,,,,,,,,7.88,11.92,22.334757591357,23.593980446041,0,0,0,450
1698973200,2023-11-03T01:00:00+0000,3,3,974.05,168.2,3880,0,40,223200,974.05,7.7,11.7,22.582828460671,22.301278959743,0,0,0,450
1698976800,2023-11-03T02:00:00+0000,3,3,,,,,,,,7.84,11.86,22.492183875793,22.934274523639,0,0,0,440
1698980400,2023-11-03T03:00:00+0000,3,3,975,175,3880,0,37,,975,7.9,11.7,22.432338777719,23.235002681001,2,2,2,440
1698984000,2023-11-03T04:00:00+0000,3,3,975.2,175.1,3880,0,35,230400,975.2,7.2,11.075,23.318528478588,18.447769380453,,,,
1698987600,2023-11-03T05:00:00+0000,3,3,976.5,165.8,3880,0,38,,976.5,6.75,10.7,23.867314427816,16.455194328637,0,0,0,450
