timestamp,date,temperature_int,temperature,NO2,O3,lqi,nbFrames,PM2_5,PM10,PM1_0,pressure,humidity,battery,lux,dB,mslPressure,run_time
1698710400,2023-10-31T00:00:00+0000,9.9333333333333,10.4,19.286140684361,33.815023364857,3,3,38.5,38.5,31,991.7,167.9,3820,0,57,991.7,
1698714000,2023-10-31T01:00:00+0000,9.22,9.68,18.612372763885,29.861200162622,2.8,3,44,44,33.666666666667,992,167.9,3820,0,54.5,992,496800
1698717600,2023-10-31T02:00:00+0000,9.15,9.7333333333333,13.123709812727,38.955369921195,3,3,24.666666666667,24.666666666667,20.333333333333,992.05,169.4,3812.5,0,53,992.05,500400
1698721200,2023-10-31T03:00:00+0000,9.1,9.7333333333333,5.1930380239995,53.11837961267,3,3,13.666666666667,13.666666666667,13,992.3,169.65,3805,0,51,992.3,504000
1698724800,2023-10-31T04:00:00+0000,9.4833333333333,10.1,10.772292282891,39.484740316966,3,3,1,1,1,992.55,169.2,3805,0,50.5,992.55,507600
1698728400,2023-10-31T05:00:00+0000,9.65,10.233333333333,9.2655387395772,41.671404561225,3,3,0.33333333333333,0.33333333333333,0.33333333333333,992.9,167.45,3805,0,51,992.9,511200
1698732000,2023-10-31T06:00:00+0000,9.62,10.22,4.3720985637951,39.90756293009,3,2.5,1,1,1,993.3,167.3,3805,0,53,993.3,514800
1698735600,2023-10-31T07:00:00+0000,9.7166666666667,10.366666666667,4.2728973588413,41.390241164882,3,3,3.6666666666667,3.6666666666667,3.6666666666667,993.9,166.55,3805,0,58,993.9,518400
1698739200,2023-10-31T08:00:00+0000,9.8833333333333,10.5,7.655835521281,39.246566137656,2.8,3,5.3333333333333,5.3333333333333,5.3333333333333,994.65,163.35,3805,0,61,994.65,522000
1698742800,2023-10-31T09:00:00+0000,9.95,10.55,10.504635000748,36.623276272509,2.8,3,1,1,1,995.5,156.9,3805,0,61,995.5,525600
1698746400,2023-10-31T10:00:00+0000,10.3,11,16.990634879857,32.410596752983,2.75,3,0,0,0,995.8,148.15,3805,0,61.5,995.8,529200
1698750000,2023-10-31T11:00:00+0000,10.9,11.68,15.756024277595,38.017732003063,3,3,0,0,0,995.9,143.9,3805,0,56,995.9,532800
1698753600,2023-10-31T12:00:00+0000,13.625,14.625,24.853697904004,48.749626915586,2.5,3,0,0,0,994.7,128.2,3805,2.5,60.5,994.7,536400
1698757200,2023-10-31T13:00:00+0000,13.15,13.275,48.719207639806,19.259132966969,2,3,0,0,0,993.1,111.8,3805,5,65,993.1,540000
1698760800,2023-10-31T14:00:00+0000,11.866666666667,12.533333333333,39.060791222034,17.201060992881,2.2,3,17,17.333333333333,11,992.9,123.85,3805,2.5,62,992.9,543600
1698764400,2023-10-31T15:00:00+0000,11.683333333333,12.316666666667,29.285917470319,25.427066132378,1.8,3,0,0,0,992.65,132.75,3820,2.5,62,992.65,547200
1698768000,2023-10-31T16:00:00+0000,11.32,11.86,25.550253731714,25.904407246973,2,3,0,0,0,992.45,138.05,3820,0,62.5,992.45,550800
1698771600,2023-10-31T17:00:00+0000,10.95,11.4,26.37546926019,21.670932843328,2,3,0,0,0,992,143.5,3835,0,62.5,992,554400
1698775200,2023-10-31T18:00:00+0000,10.633333333333,11.15,26.618117788488,18.579375446268,2,3,2.3333333333333,2.3333333333333,2.3333333333333,991.6,149.15,3835,0,62,991.6,558000
1698778800,2023-10-31T19:00:00+0000,10.75,11.333333333333,28.753767779648,17.288907583393,2.2,3,17,17,14,991,149.65,3835,0,63,991,561600
1698782400,2023-10-31T20:00:00+0000,11.12,11.72,28.09297605488,20.928241711525,2,3,19,19,14,990.05,156.4,3835,0,63.5,990.05,565200
1698786000,2023-10-31T21:00:00+0000,10.933333333333,11.483333333333,23.224579801684,24.22042610063,2,3,13.666666666667,13.666666666667,12,989.05,164.75,3835,0,62.5,989.05,568800
1698789600,2023-10-31T22:00:00+0000,11.016666666667,11.633333333333,17.980283761618,31.237138426096,2,3,3.3333333333333,3.3333333333333,3.3333333333333,987.8,168.35,3835,0,61.5,987.8,572400
1698793200,2023-10-31T23:00:00+0000,10.733333333333,11.383333333333,0,49.747929366321,2,3,0,0,0,986.45,167.2,3835,0,59,986.45,576000
1698796800,2023-11-01T00:00:00+0000,11.366666666667,12.1,0,65.825779291774,2,3,0,0,0,984.6,172,3820,0,58,984.6,579600
1698800400,2023-11-01T01:00:00+0000,12.12,12.82,2.9083178814577,57.222771294367,2,3,0,0,0,982.8,175.05,3820,0,54,982.8,583200
1698804000,2023-11-01T02:00:00+0000,12.2,12.866666666667,6.3054276855972,50.460244409439,2,3,0,0,0,981.15,175.4,3820,0,50,981.15,586800
1698807600,2023-11-01T03:00:00+0000,11.916666666667,12.516666666667,10.454444091134,55.22519436368,2,3,0,0,0,979.6,174.4,3820,0,48,979.6,590400
1698811200,2023-11-01T04:00:00+0000,11.816666666667,12.483333333333,0,133.76773909939,2,3,0,0,0,978.5,174.8,3820,0,46,978.5,
1698814800,2023-11-01T05:00:00+0000,11.54,12.08,9.7924969239085,55.088747700708,2.4,3,0,0,0,978.25,171.15,3820,0,47,978.25,594000
1698818400,2023-11-01T06:00:00+0000,10.583333333333,11.166666666667,36.862346347306,14.267912353102,2.2,3,0,0,0,977.6,161.5,3820,0,51.5,977.6,597600
