timestamp,date,lqi,nbFrames,pressure,humidity,battery,lux,dB,run_time,mslPressure,PM2_5,PM10,PM1_0,CO2,temperature_int,temperature,NO2,O3
1698710400,2023-10-31T00:00:00+0000,2,3,993.2,182.2,3805,0,57.5,82800,993.2,34.333333333333,34.333333333333,33,503.33333333333,9.9833333333333,10.516666666667,17.954053933351,31.143197291359
1698714000,2023-10-31T01:00:00+0000,3,3,993.5,182.4,3805,0,54.5,86400,993.5,29.333333333333,29.333333333333,26.333333333333,503.33333333333,9.25,9.8166666666667,18.440849056144,25.44538264392
1698717600,2023-10-31T02:00:00+0000,2,3,993.65,183,3805,0,52.5,90000,993.65,17,17,16.333333333333,460,9.2,9.8166666666667,18.61214909263,24.986072325752
1698721200,2023-10-31T03:00:00+0000,2.25,3,993.9,183.1,3805,0,52,,993.9,5.3333333333333,5.3333333333333,5.3333333333333,440,9.2166666666667,9.8666666666667,18.448820262427,23.518384311539
1698724800,2023-10-31T04:00:00+0000,2,3,994,182.2,3797.5,0,51,93600,994,0,0,0,425,9.6166666666667,10.3,18.298401862203,26.688364792038
1698728400,2023-10-31T05:00:00+0000,2,3,994.3,180.3,3790,0,52,97200,994.3,0,0,0,410,9.76,10.36,17.897075417569,28.137982967276
1698732000,2023-10-31T06:00:00+0000,2.2,3,994.7,179.6,3790,0,53,100800,994.7,0,0,0,413.33333333333,9.7333333333333,10.35,16.180500124689,26.581889360981
1698735600,2023-10-31T07:00:00+0000,2.2,3,995.3,179.55,3790,0,57.5,104400,995.3,0,0,0,426.66666666667,9.75,10.433333333333,16.838079588467,26.948684488717
1698739200,2023-10-31T08:00:00+0000,2.2,3,996,174.8,3790,0,60,108000,996,1,1,1,443.33333333333,9.95,10.633333333333,17.211422365054,28.45118418493
1698742800,2023-10-31T09:00:00+0000,2.2,3,996.8,168.3,3790,0,61.5,111600,996.8,0.66666666666667,0.66666666666667,0.66666666666667,440,10.016666666667,10.666666666667,16.755466183118,29.195926135241
1698746400,2023-10-31T10:00:00+0000,2.4,3,997.25,161.35,3790,0,62,115200,997.25,0,0,0,443.33333333333,10.316666666667,11.116666666667,17.938876994288,30.184881252063
1698750000,2023-10-31T11:00:00+0000,2,3,997.35,153.35,3790,0,61,118800,997.35,0,0,0,496.66666666667,11.016666666667,11.8,26.345542457275,27.118175899712
1698753600,2023-10-31T12:00:00+0000,2,3,996.2,145.15,3790,0,57.5,122400,996.2,0,0,0,596.66666666667,13.733333333333,14.766666666667,49.409298837329,37.72474113373
1698757200,2023-10-31T13:00:00+0000,3,3,994.15,136.35,3797.5,0,51.5,126000,994.15,0,0,0,433.33333333333,12.42,12.78,29.6745466636,39.23692795549
1698760800,2023-10-31T14:00:00+0000,3,3,993.9,137.55,3812.5,2.5,48.5,129600,993.9,0,0,0,420,12.4,12.8,26.686058804246,42.150682311199
1698764400,2023-10-31T15:00:00+0000,2.8,3,993.6,147.15,3827.5,0,52.5,133200,993.6,0,0,0,426.66666666667,11.816666666667,12.216666666667,21.024543326597,42.72193530682
