timestamp,date,PM2_5,PM10,PM1_0,lqi,nbFrames,pressure,humidity,battery,lux,dB,run_time,mslPressure,temperature_int,temperature,NO2,O3
1700524800,2023-11-21T00:00:00+0000,,,,1.25,3,1021.5,121,3760,0,50.5,813600,1021.5,7.95,8.0833333333333,15.714352593053,40.923848258128
1700528400,2023-11-21T01:00:00+0000,,,,1,2,1022.2,124.65,3760,0,47.5,817200,1022.2,7.5166666666667,7.7166666666667,16.900223145705,38.588599132567
1700532000,2023-11-21T02:00:00+0000,,,,1.6666666666667,3,1023,125.4,3760,0,45,,1023,7.2333333333333,7.4666666666667,17.676180261953,37.899064648725
1700535600,2023-11-21T03:00:00+0000,,,,1,3,1023.25,126.9,3760,0,45,820800,1023.25,6.9,7.1,18.588149017808,36.378529339978
1700539200,2023-11-21T04:00:00+0000,,,,1,3,1024.4,128.65,3760,0,42,824400,1024.4,6.55,6.7166666666667,19.547866956463,35.324550837694
1700542800,2023-11-21T05:00:00+0000,,,,1,3,1024.7,134.1,3760,0,44.5,828000,1024.7,6.0833333333333,6.3,20.825028217859,34.274545306111
1700546400,2023-11-21T06:00:00+0000,,,,1,3,1025.65,141.9,3760,0,48.5,831600,1025.65,5.45,5.6333333333333,17.680422836462,36.033878594379
1700550000,2023-11-21T07:00:00+0000,,,,1,3,1026.2,144.7,3760,0,56,835200,1026.2,5.16,5.36,18.706680687902,34.660800629703
1700553600,2023-11-21T08:00:00+0000,,,,1.3333333333333,2.3333333333333,1026.95,147.3,3760,0,56.5,838800,1026.95,4.825,5,19.9582312014,32.487259005692
1700557200,2023-11-21T09:00:00+0000,,,,1,3,1027.75,149.35,3760,0,57,842400,1027.75,4.6166666666667,4.85,22.276239356283,29.005173167824
1700560800,2023-11-21T10:00:00+0000,,,,1,2.5,1028.25,147.9,3760,0,56,846000,1028.25,5.2333333333333,5.6166666666667,21.740766618907,30.101140722291
1700564400,2023-11-21T11:00:00+0000,,,,1,2,1028.3,140.15,3760,0,54.5,849600,1028.3,6.3,6.82,20.471817204571,32.230385905861
1700568000,2023-11-21T12:00:00+0000,,,,1,3,1028.3,129.5,3760,2.5,55.5,853200,1028.3,7.7666666666667,8.25,17.824758283635,36.963296886121
