timestamp,date,pressure,humidity,battery,lux,dB,run_time,mslPressure,lqi,nbFrames,PM2_5,PM10,PM1_0,temperature_int,temperature,NO2,O3
1700524894,2023-11-21T00:01:34+0000,,,,,,,,,,,,,7.4,8.1,15.64861156651,44.822401294475
1700524988,2023-11-21T00:03:08+0000,,,,,,,,,,1,1,1,,,,
1700525494,2023-11-21T00:11:34+0000,,,,,,,,,,,,,7.5,8.1,16.326668719659,44.777035260821
1700525495,2023-11-21T00:11:35+0000,,,,,,,,2,3,,,,,,,
1700525783,2023-11-21T00:16:23+0000,1019.6,120.7,3970,0,55,,1019.6,,,,,,,,,
1700526137,2023-11-21T00:22:17+0000,,,,,,,,,,,,,7.3,8,16.869983190144,43.600989242164
1700526188,2023-11-21T00:23:08+0000,,,,,,,,,,0,0,0,,,,
1700526189,2023-11-21T00:23:09+0000,,,,,,,,2,3,,,,,,,
1700526737,2023-11-21T00:32:17+0000,,,,,,,,,,,,,7.3,8,16.652015953464,44.00875168609
1700526738,2023-11-21T00:32:18+0000,,,,,,,,2,3,,,,,,,
1700527380,2023-11-21T00:43:00+0000,,,,,,,,,,,,,7.2,7.9,16.596722333686,43.6844144627
1700527518,2023-11-21T00:45:18+0000,,,,,,,,,,0,0,0,,,,
1700527583,2023-11-21T00:46:23+0000,1019.6,121.9,3970,0,59,525600,1019.6,,,,,,,,,
1700527584,2023-11-21T00:46:24+0000,,,,,,,,2,3,,,,,,,
1700527980,2023-11-21T00:53:00+0000,,,,,,,,,,,,,7.3,7.9,17.18136495683,43.532123573626
1700527981,2023-11-21T00:53:01+0000,,,,,,,,2,3,,,,,,,
1700528624,2023-11-21T01:03:44+0000,,,,,,,,,,,,,7.2,7.9,16.876965923704,43.477980119945
1700528718,2023-11-21T01:05:18+0000,,,,,,,,,,0,0,0,,,,
1700529224,2023-11-21T01:13:44+0000,,,,,,,,,,,,,7.3,7.9,16.96339772015,43.391588752174
1700529225,2023-11-21T01:13:45+0000,,,,,,,,2,3,,,,,,,
1700529512,2023-11-21T01:18:32+0000,1020.1,121.3,3970,0,55,,1020.1,,,,,,,,,
1700529867,2023-11-21T01:24:27+0000,,,,,,,,,,,,,7.1,7.7,17.133054070612,42.684098457163
1700529918,2023-11-21T01:25:18+0000,,,,,,,,,,0,0,0,,,,
1700529919,2023-11-21T01:25:19+0000,,,,,,,,2,3,,,,,,,
