timestamp,date,pressure,humidity,battery,lux,dB,run_time,mslPressure,PM2_5,PM10,PM1_0,lqi,nbFrames,temperature_int,temperature,NO2,O3
1700524847,2023-11-21T00:00:47+0000,,,,,,,,,,,,,7.2,7.7,16.381457472304,41.635330399648
1700524848,2023-11-21T00:00:48+0000,,,,,,,,,,,2,3,,,,
1700525488,2023-11-21T00:11:28+0000,,,,,,,,,,,,,7.1,7.8,16.790716702713,41.726724194908
1700525624,2023-11-21T00:13:44+0000,,,,,,,,0,-0,0,,,,,,
1700525713,2023-11-21T00:15:13+0000,1021.6,113.9,3970,0,53,723600,1021.6,,,,,,,,,
1700525714,2023-11-21T00:15:14+0000,,,,,,,,,,,3,3,,,,
1700526088,2023-11-21T00:21:28+0000,,,,,,,,,,,,,7.2,7.8,16.487340833799,42.464277357358
1700526089,2023-11-21T00:21:29+0000,,,,,,,,,,,2,3,,,,
1700526728,2023-11-21T00:32:08+0000,,,,,,,,,,,,,6.9,7.6,17.126407035115,39.52942206128
1700526824,2023-11-21T00:33:44+0000,,,,,,,,0,0,0,,,,,,
1700527328,2023-11-21T00:42:08+0000,,,,,,,,,,,,,6.9,7.5,17.189937052011,39.874880309036
1700527329,2023-11-21T00:42:09+0000,,,,,,,,,,,2,3,,,,
1700527634,2023-11-21T00:47:14+0000,1021.7,116.8,3970,0,49,,1021.7,,,,,,,,,
1700527969,2023-11-21T00:52:49+0000,,,,,,,,,,,,,6.8,7.5,17.455194910787,38.883310681973
1700528024,2023-11-21T00:53:44+0000,,,,,,,,0,0,0,,,,,,
1700528025,2023-11-21T00:53:45+0000,,,,,,,,,,,2,3,,,,
1700528569,2023-11-21T01:02:49+0000,,,,,,,,,,,,,6.9,7.5,17.350879761483,41.758878922823
1700528570,2023-11-21T01:02:50+0000,,,,,,,,,,,2,3,,,,
1700529210,2023-11-21T01:13:30+0000,,,,,,,,,,,,,6.8,7.5,17.645784961477,41.555638483846
1700529343,2023-11-21T01:15:43+0000,,,,,,,,0,0,0,,,,,,
1700529434,2023-11-21T01:17:14+0000,1022.1,114.8,3970,0,51,727200,1022.1,,,,,,,,,
1700529435,2023-11-21T01:17:15+0000,,,,,,,,,,,2,3,,,,
1700529810,2023-11-21T01:23:30+0000,,,,,,,,,,,,,6.9,7.5,17.274643741207,40.666577044094
1700529811,2023-11-21T01:23:31+0000,,,,,,,,,,,2,3,,,,
1700530450,2023-11-21T01:34:10+0000,,,,,,,,,,,,,6.7,7.4,17.79245345538,40.682658221657
1700530543,2023-11-21T01:35:43+0000,,,,,,,,0,0,0,,,,,,
1700531050,2023-11-21T01:44:10+0000,,,,,,,,,,,,,6.7,7.4,17.800924124299,40.265199288085
1700531051,2023-11-21T01:44:11+0000,,,,,,,,,,,2,3,,,,
1700531356,2023-11-21T01:49:16+0000,1022.8,115.2,3970,0,49,,1022.8,,,,,,,,,
1700531691,2023-11-21T01:54:51+0000,,,,,,,,,,,,,6.6,7.3,17.956063287121,38.332064247872
1700531743,2023-11-21T01:55:43+0000,,,,,,,,0,0,0,,,,,,
1700531744,2023-11-21T01:55:44+0000,,,,,,,,,,,2,3,,,,
1700532291,2023-11-21T02:04:51+0000,,,,,,,,,,,,,6.6,7.2,17.909474608063,38.49550671683
1700532292,2023-11-21T02:04:52+0000,,,,,,,,,,,2,3,,,,
1700532931,2023-11-21T02:15:31+0000,,,,,,,,,,,,,6.4,7.1,18.367989639799,36.175379883869
1700533065,2023-11-21T02:17:45+0000,,,,,,,,0,0,0,,,,,,
1700533156,2023-11-21T02:19:16+0000,1022.9,117.6,3970,0,50,730800,1022.9,,,,,,,,,
1700533157,2023-11-21T02:19:17+0000,,,,,,,,,,,2,3,,,,
1700533531,2023-11-21T02:25:31+0000,,,,,,,,,,,,,6.4,7.1,18.639051045225,38.708809436056
1700533532,2023-11-21T02:25:32+0000,,,,,,,,,,,2,3,,,,
1700534173,2023-11-21T02:36:13+0000,,,,,,,,,,,,,6.3,7,18.959368251978,37.486899776165
1700534265,2023-11-21T02:37:45+0000,,,,,,,,0,-0,0,,,,,,
1700534773,2023-11-21T02:46:13+0000,,,,,,,,,,,,,6.4,7,18.698345727662,39.350637493022
1700534774,2023-11-21T02:46:14+0000,,,,,,,,,,,2,3,,,,
1700535076,2023-11-21T02:51:16+0000,1023.3,117.7,3955,0,47,,1023.3,,,,,,,,,
1700535413,2023-11-21T02:56:53+0000,,,,,,,,,,,,,6.4,7.2,18.897406447271,40.962810516871
1700535465,2023-11-21T02:57:45+0000,,,,,,,,-0,-0,-0,,,,,,
1700535466,2023-11-21T02:57:46+0000,,,,,,,,,,,2,3,,,,
1700536013,2023-11-21T03:06:53+0000,,,,,,,,,,,,,6.5,7.1,18.433087868886,39.582657485731
1700536014,2023-11-21T03:06:54+0000,,,,,,,,,,,2,3,,,,
1700536656,2023-11-21T03:17:36+0000,,,,,,,,,,,,,6.3,6.9,18.641718167495,37.161854016195
1700536787,2023-11-21T03:19:47+0000,,,,,,,,0,0,0,,,,,,
1700536876,2023-11-21T03:21:16+0000,1023.8,118.2,3955,0,46,734400,1023.8,,,,,,,,,
1700536877,2023-11-21T03:21:17+0000,,,,,,,,,,,2,3,,,,
1700537256,2023-11-21T03:27:36+0000,,,,,,,,,,,,,6.3,6.8,18.696777515472,36.288818138914
1700537257,2023-11-21T03:27:37+0000,,,,,,,,,,,2,3,,,,
1700537894,2023-11-21T03:38:14+0000,,,,,,,,,,,,,6.1,6.7,19.244234570863,36.041544395458
1700537987,2023-11-21T03:39:47+0000,,,,,,,,0,0,0,,,,,,
1700538494,2023-11-21T03:48:14+0000,,,,,,,,,,,,,6.1,6.6,19.079056526931,34.395488695931
1700538495,2023-11-21T03:48:15+0000,,,,,,,,,,,2,3,,,,
